OPERADORA,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL
AMERISUR EXPLORACION COLOMBIA LTD,4027,4264,4346,4847,4794,4578,2358,5836,4022,6172,5768,6029,57041
BC EXPLORACIÓN Y PRODUCCIÓN DE HIDROCARBUROS SL,0,0,0,0,0,50,0,8,0,0,0,0,58
CANACOL ENERGY COLOMBIA S.A.,1882,2018,1964,2172,2146,2072,2182,2391,2664,2371,2605,2577,27044
CEPSA COLOMBIA S.A. - CEPCOLSA,19616,18845,18690,17531,17887,18362,17947,18147,17893,17935,17931,18116,218900
CINCO RANCH PETROLEUM COLOMBIA INC SUCURSAL COLOMBIA.,27,26,25,26,33,34,34,34,35,2,0,0,276
CNE OIL & GAS S.A.S,1456,1455,1383,1273,1236,1117,1103,1055,942,925,895,995,13835
COLOMBIA ENERGY DEVELOPMENT CO.,1970,2535,2020,2578,4127,4131,3896,3741,3508,3035,2626,2592,36759
CONOCOPHILLIPS COLOMBIA VENTURES LIMITED,0,8,7,0,29,0,22,0,0,0,0,0,66
CONSORCIO CAMPOS DE PRODUCCIÓN - CCP,0,0,0,0,0,34,32,0,0,0,0,0,66
DCX S.A.S.,61,52,31,52,54,53,33,34,52,52,48,42,564
ECOPETROL ALTO MAGDALENA,27369,27016,26638,26298,26086,6528,6511,6739,6601,6627,6370,6348,179131
ECOPETROL D. SUR,7895,7919,7639,7235,7053,0,0,0,0,0,0,0,37741
ECOPETROL LLANOS,325000,324234,305642,320325,202193,0,0,0,0,0,0,0,1477394
ECOPETROL S.A.,115472,115393,114974,115615,220941,461432,462504,465145,461558,463107,460479,465150,3921770
EMERALD ENERGY PLC SUCURSAL COLOMBIA,1111,1141,1405,1594,1386,1619,1722,1706,1678,1660,1618,1715,18355
EQUION ENERGÍA LIMITED,44192,45405,45107,42962,47733,40029,45085,40038,38300,42617,42215,42384,516067
GAS PETROLEO Y DERIVADOS DE COLOMBIA S.A.S PETROCOLOMBIA S.A.S,33,32,31,30,28,29,29,28,26,25,20,11,322
GEOPARK COLOMBIA S.A.S.,39112,40736,44531,44532,44142,46679,48034,47430,48951,51141,51287,54866,561441
GEOPRODUCTION OIL AND GAS COMPANY OF COLOMBIA,0,0,0,0,2,4,3,2,2,1,1,1,16
GRAN TIERRA ENERGY COLOMBIA LTD,20373,18785,19461,18261,19066,18953,20043,30198,29294,30488,31613,33122,289657
GRAN TIERRA INTERNATIONAL (COLOMBIA) CORP,0,0,0,0,0,0,0,0,1116,946,564,1215,3841
GRUPO C&C ENERGIA (BARBADOS) SUCURSAL COLOMBIA,4830,4818,4632,4468,4426,4366,4058,3908,3855,3703,3501,3556,50121
HOCOL S.A.,20898,21402,21624,21197,21155,20797,20782,21335,21101,20948,16765,20428,248432
HUPECOL OPERATING CO LLC,2131,2038,1827,1839,1956,1807,2141,2510,2630,2407,2378,2498,26162
Iberoamericana de Hidrocarburos CQ Exploración y Producción S.A.S.,0,0,0,0,4,376,375,374,421,864,889,732,4035
INTEROIL COLOMBIA EXPLORATION AND PRODUCTION,840,825,835,807,809,795,811,943,1178,1253,1239,1269,11604
KAPPA RESOURCES COLOMBIA LTD.,0,0,0,0,0,725,703,0,0,0,0,0,1428
LAS QUINCHAS RESOURCE CORP.,1491,1472,1446,1587,1767,1926,1594,1929,1671,1935,1562,1597,19977
LEWIS ENERGY COLOMBIA INC,669,610,542,1204,1068,490,437,489,1462,1306,1256,1230,10763
MANSAROVAR ENERGY COLOMBIA LTD,32487,32662,31637,31214,30775,30056,30161,29434,30147,29480,29407,29493,366953
META PETROLEUM CORP,48315,51126,51373,50405,48490,48636,46942,46266,46258,46701,47386,49291,581189
NEW GRANADA ENERGY CORPORATION SUCURSAL COLOMBIA,4005,3900,3705,3484,3227,3135,3302,3223,3167,3121,3034,2987,40290
OCCIDENTAL DE COLOMBIA LLC,49390,50454,8405,49794,51312,50347,43063,47976,48428,46951,44055,45912,536087
OIRU CORPORATION,1081,1050,1121,973,1073,0,0,0,0,0,0,0,5298
ONGC VIDESH LIMITED SUCURSAL COLOMBIANA,0,0,0,0,259,0,0,0,0,0,942,3073,4274
PACIFIC STRATUS ENERGY COLOMBIA CORP,7821,8627,8196,7948,8020,6999,6762,7158,6858,6619,6584,6334,87926
PAREX RESOURCES COLOMBIA LTD. SUCURSAL,10950,9293,8309,10842,9959,7064,10431,9209,7679,10527,10376,7751,112390
PERENCO COLOMBIA LIMITED,22226,23169,23432,22555,22203,12350,11946,12032,11837,11805,11675,11697,196927
PERENCO OIL AND GAS COLOMBIA LIMITED.,0,0,0,0,0,9815,9632,9425,9547,9032,9201,9159,65811
PETROLEOS DEL NORTE S.A,7637,7153,7370,8364,9532,1235,1164,877,887,699,655,730,46303
PETROLEOS SUD AMERICANOS SUCURSAL COLOMBIA,979,945,971,1054,1006,1000,998,968,933,895,848,776,11373
PETROMINERALES COLOMBIA LTD SUCURSAL COLOMBIA,22683,22407,22331,22539,23589,24043,23773,23624,22643,22260,21388,20183,271463
PETROSANTANDER (COLOMBIA) INC.,2187,2177,2098,2077,2150,2125,2026,1943,1998,1985,2034,1921,24721
SIPETROL S.A.,0,0,0,0,0,170,169,167,164,163,0,0,833
SOGOMI ENERGY S.A.,0,0,0,0,0,1018,981,936,1030,1161,1004,1028,7158
TABASCO OIL COMPANY LLC,0,0,0,0,28,57,129,335,298,186,299,258,1590
TECPETROL COLOMBIA S.A.S.,1535,2064,1909,1852,1656,1611,1535,1443,1468,1453,1435,2249,20210
UNION TEMPORAL MIDAS,0,0,0,0,0,10027,10495,85,194,0,0,0,20801
UNION TEMPORAL OMEGA ENERGY,383,372,373,191,68,284,349,363,422,330,292,450,3877
VERANO ENERGY (BARBADOS) LIMITED,1469,1411,1451,1398,1368,1352,1373,1284,1217,1289,1306,1331,16249
VETRA EXPLORACION Y PRODUCCION COLOMBIA S.A.S.,6874,6683,6823,7325,7680,8701,8730,7752,8055,9678,7502,9215,95018
WATTLE PETROLEUM COMPANY S.A.S,0,0,0,0,0,0,0,0,0,0,0,0,0
